"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Mauritius"	480	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042
"Mayotte"	175	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Mozambique"	508	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Reunion"	638	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Rwanda"	646	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.017	1.023	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Seychelles"	690	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Somalia"	706	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"South Sudan"	728	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
"Uganda"	800	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"United Republic of Tanzania"	834	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Zambia"	894	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Zimbabwe"	716	1.03	1.03	1.03	1.03	1.03	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02
"Middle Africa"	911	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Angola"	24	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Cameroon"	120	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Central African Republic"	140	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Chad"	148	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Congo"	178	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Dem. Republic of the Congo"	180	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Equatorial Guinea"	226	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Gabon"	266	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Sao Tome and Principe"	678	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Northern Africa"	912	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.06	1.06	1.06	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Algeria"	12	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Egypt"	818	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.066	1.066	1.066	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Libya"	434	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.058	1.061	1.062	1.059	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Morocco"	504	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.054	1.058	1.061	1.062	1.059	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Sudan"	729	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
"Tunisia"	788	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Western Sahara"	732	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Southern Africa"	913	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Botswana"	72	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Lesotho"	426	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Namibia"	516	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"South Africa"	710	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Swaziland"	748	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Western Africa"	914	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Benin"	204	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041	1.041
"Burkina Faso"	854	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046
"Cabo Verde"	132	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Cote d'Ivoire"	384	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Gambia"	270	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Ghana"	288	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053
"Guinea"	324	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024	1.024
"Guinea-Bissau"	624	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Liberia"	430	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054
"Mali"	466	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Mauritania"	478	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Niger"	562	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Nigeria"	566	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059
"Senegal"	686	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.036
"Sierra Leone"	694	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018
"Togo"	768	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018
"Asia"	935	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.07	1.08	1.09	1.1	1.1	1.1	1.09	1.09	1.09	1.08	1.08	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
"Eastern Asia"	906	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.09	1.12	1.13	1.15	1.16	1.15	1.14	1.13	1.12	1.11	1.1	1.09	1.09	1.08	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
"China"	156	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.09	1.12	1.14	1.16	1.17	1.16	1.15	1.14	1.13	1.12	1.11	1.1	1.09	1.08	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
"China, Hong Kong SAR"	344	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067
"China, Macao SAR"	446	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Dem. People's Rep. of Korea"	408	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Japan"	392	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056
"Mongolia"	496	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
"Republic of Korea"	410	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.14	1.14	1.1	1.1	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
"Other non-specified areas"	158	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.08	1.1	1.1	1.1	1.1	1.09	1.08	1.07	1.06	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056
"South-Central Asia"	921	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.08	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
"Central Asia"	5500	1.06	1.06	1.06	1.06	1.05	1.05	1.05	1.05	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Kazakhstan"	398	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.06	1.06	1.063	1.057	1.06	1.061	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Kyrgyzstan"	417	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.051	1.054	1.065	1.05	1.06	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058
"Tajikistan"	762	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
"Turkmenistan"	795	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046
"Uzbekistan"	860	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.069	1.061	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059
"Southern Asia"	5501	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.07	1.08	1.09	1.1	1.1	1.1	1.09	1.09	1.09	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
"Afghanistan"	4	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
"Bangladesh"	50	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049
"Bhutan"	64	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
"India"	356	1.06	1.06	1.06	1.06	1.06	1.06	1.065	1.07	1.09	1.099	1.107	1.109	1.109	1.106	1.102	1.097	1.091	1.085	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
"Iran (Islamic Republic of)"	364	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.04	1.043	1.05	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052
"Maldives"	462	1.058	1.058	1.058	1.058	1.058	1.062	1.057	1.053	1.083	1.062	1.057	1.064	1.104	1.084	1.077	1.075	1.071	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067	1.067
"Nepal"	524	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.054	1.071	1.071	1.054	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065
"Pakistan"	586	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.08	1.096	1.086	1.087	1.087	1.087	1.084	1.084	1.084	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
"Sri Lanka"	144	1.035	1.036	1.036	1.035	1.038	1.04	1.045	1.046	1.039	1.044	1.045	1.044	1.04	1.043	1.043	1.042	1.043	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042
"South-Eastern Asia"	920	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.06	1.06	1.06	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
